Correlations of the speaker sorted by p-value for the linear regression model,,
Feature,Correlation,p-value
vo   -50 to     0 self,0.003613076,0.12450016
tl  -100 to   -50 self,-0.003149519,0.12654829
np   300 to   400 self,-0.003195282,0.15503941
tl  -800 to  -400 self,0.002721823,0.15714474
wp -1600 to  -800 self,-0.002851169,0.18368475
th  -800 to  -400 self,0.003051918,0.20143263
wp   300 to   400 self,-0.002801146,0.20618336
th  -100 to   -50 self,-0.002750318,0.20845209
np   800 to  1600 self,0.002549019,0.2528483
pd   400 to   800 self,-0.001785003,0.25849384
vr   200 to   400 self,0.001345118,0.28394076
vo -1600 to -1200 self,-0.001980158,0.30714151
cr -1600 to  -800 self,-0.002008562,0.32047918
vr -1600 to  -800 self,0.001210793,0.35145289
np   200 to   300 self,-0.002147032,0.3626194
tl -1600 to  -800 self,-0.001771431,0.36701664
th   300 to   400 self,0.001816971,0.37443194
th -1600 to  -800 self,0.002075695,0.37581998
vo   150 to   200 self,0.002275242,0.39209792
vo  1600 to  3200 self,0.001440478,0.40155736
vo   200 to   300 self,0.002170049,0.42560977
th   100 to   200 self,0.001640801,0.44113189
sr  -200 to     0 self,0.001330851,0.44660562
vr   400 to   800 self,-0.000950624,0.45541486
cr   400 to   800 self,0.000963228,0.58863705
le   200 to   400 self,-0.000918086,0.60443604
wp  -800 to  -400 self,-0.000529731,0.78777987
le   400 to   800 self,-0.000394635,0.823062
th    50 to   100 self,-0.000360785,0.86439222
th   400 to   800 self,0.000158648,0.94474155
pd   800 to  1600 self,4.83E-05,0.97579342
